borough,date,timestamp_hour,ride_count,temperature_2m,precipitation,snowfall,rain,wind_speed_10m
Bronx,2023-01-01,2023-01-01T07:00:00.000000,2268,10.524,0.0,0.0,0.0,13.797912
Bronx,2023-01-01,2023-01-01T10:00:00.000000,1974,8.824,0.0,0.0,0.0,15.141414
Bronx,2023-01-01,2023-01-01T15:00:00.000000,3155,10.274,0.0,0.0,0.0,15.315873
Bronx,2023-01-01,2023-01-01T17:00:00.000000,3458,11.074,0.0,0.0,0.0,15.990646
Bronx,2023-01-01,2023-01-01T20:00:00.000000,3201,11.024,0.0,0.0,0.0,11.384199
Bronx,2023-01-01,2023-01-01T23:00:00.000000,3071,5.074,0.0,0.0,0.0,9.531505
Bronx,2023-01-02,2023-01-02T00:00:00.000000,2343,4.024,0.0,0.0,0.0,9.19939
Bronx,2023-01-02,2023-01-02T01:00:00.000000,1594,3.824,0.0,0.0,0.0,6.489992
Bronx,2023-01-02,2023-01-02T02:00:00.000000,1147,3.024,0.0,0.0,0.0,9.007196
Bronx,2023-01-02,2023-01-02T04:00:00.000000,1012,6.274,1.1,0.0,1.1,10.829958
Bronx,2023-01-02,2023-01-02T05:00:00.000000,1204,6.424,0.1,0.0,0.1,7.771331
Bronx,2023-01-02,2023-01-02T06:00:00.000000,1551,5.774,0.0,0.0,0.0,7.771331
Bronx,2023-01-02,2023-01-02T07:00:00.000000,1818,4.524,0.0,0.0,0.0,6.638072
Bronx,2023-01-02,2023-01-02T11:00:00.000000,1997,3.674,0.0,0.0,0.0,6.297428
Bronx,2023-01-02,2023-01-02T15:00:00.000000,2812,7.174,0.0,0.0,0.0,6.5693827
Bronx,2023-01-02,2023-01-02T17:00:00.000000,2871,10.124,0.0,0.0,0.0,3.096837
Bronx,2023-01-02,2023-01-02T20:00:00.000000,2581,11.924,0.0,0.0,0.0,6.792466
Bronx,2023-01-02,2023-01-02T22:00:00.000000,2479,9.524,0.1,0.0,0.1,9.255571
Bronx,2023-01-03,2023-01-03T04:00:00.000000,867,8.424,0.3,0.0,0.3,4.379589
Bronx,2023-01-03,2023-01-03T05:00:00.000000,1424,8.474,0.1,0.0,0.1,4.829907
Bronx,2023-01-03,2023-01-03T06:00:00.000000,2645,8.474,0.0,0.0,0.0,4.896529
Bronx,2023-01-03,2023-01-03T07:00:00.000000,4794,8.424,0.0,0.0,0.0,6.489992
Bronx,2023-01-03,2023-01-03T10:00:00.000000,3224,8.274,0.0,0.0,0.0,8.4963045
Bronx,2023-01-03,2023-01-03T15:00:00.000000,3465,9.424,0.1,0.0,0.1,6.3690495
Bronx,2023-01-03,2023-01-03T20:00:00.000000,2319,10.974,0.2,0.0,0.2,15.778516
Bronx,2023-01-03,2023-01-03T22:00:00.000000,2101,12.624,0.8,0.0,0.8,14.264361
Bronx,2023-01-04,2023-01-04T02:00:00.000000,598,11.724,0.0,0.0,0.0,11.720751
Bronx,2023-01-04,2023-01-04T03:00:00.000000,636,11.674,0.0,0.0,0.0,11.212135
Bronx,2023-01-04,2023-01-04T08:00:00.000000,4945,12.574,0.0,0.0,0.0,14.386494
Bronx,2023-01-04,2023-01-04T09:00:00.000000,3468,12.424,0.0,0.0,0.0,12.413477
Bronx,2023-01-04,2023-01-04T10:00:00.000000,2764,12.374,0.0,0.0,0.0,13.363711
Bronx,2023-01-04,2023-01-04T12:00:00.000000,2633,11.024,0.0,0.0,0.0,7.968939
